receita,nacionalidade,ingredientes,categoria,ocasião,tempo,dificuldade,calorias,açúcar,sódio,proteínas,carboidratos,feedback
Salada de Verão,Brasileira,"['Alface', 'Tomate', 'Cenoura', 'Pepino', 'Pimentão']",Vegetariano,Almoço,15,Fácil,100,5g,50mg,3g,15g,1
Frango Assado,Americana,"['Frango', 'Limão', 'Alho', 'Alecrim', 'Azeite']",Aves,Jantar,60,Médio,250,0g,200mg,30g,2g,1
Risoto de Cogumelos,Italiana,"['Arroz Arbóreo', 'Cogumelos', 'Cebola', 'Caldo de legumes', 'Vinho branco']",Vegetariano,Jantar,45,Médio,300,2g,300mg,8g,50g,0
Pão de Queijo,Brasileira,"['Polvilho', 'Queijo', 'Ovo', 'Leite']",Lanche,Lanche,30,Fácil,150,3g,100mg,5g,20g,1
Salmão Grelhado,Japonesa,"['Salmão', 'Molho de Soja', 'Gengibre', 'Alho']",Peixes,Jantar,20,Fácil,200,1g,150mg,25g,0g,0
Espaguete à Carbonara,Italiana,"['Espaguete', 'Ovo', 'Queijo Parmesão', 'Pancetta', 'Pimenta-do-reino']",Massas,Jantar,25,Médio,400,3g,350mg,20g,45g,0
Tacos Vegetarianos,Mexicana,"['Feijão', 'Milho', 'Pimentão', 'Abacate', 'Salsa']",Vegetariano,Jantar,30,Fácil,300,2g,200mg,10g,35g,0
Ratatouille,Francesa,"['Berinjela', 'Abobrinha', 'Tomate', 'Cebola', 'Pimentão']",Vegetariano,Almoço,40,Médio,180,4g,100mg,5g,30g,0
Salada de Frutas,Internacional,"['Morango', 'Abacaxi', 'Maçã', 'Kiwi', 'Melancia']",Sobremesa,Café da manhã,10,Fácil,120,20g,5mg,2g,30g,1
Chili com Carne,Mexicana,"['Carne moída', 'Feijão', 'Tomate', 'Pimentão', 'Cominho']",Carne,Jantar,40,Médio,350,4g,300mg,25g,20g,1
Smoothie de Banana,Internacional,"['Banana', 'Iogurte', 'Mel', 'Canela', 'Gelo']",Bebida,Lanche,5,Fácil,150,15g,50mg,5g,25g,1
Quiche de Espinafre,Francesa,"['Massa de quiche', 'Espinafre', 'Queijo', 'Ovo', 'Creme de leite']",Vegetariano,Almoço,50,Médio,280,2g,200mg,10g,20g,1
Purê de Batatas,Internacional,"['Batatas', 'Manteiga', 'Leite', 'Noz-moscada', 'Sal']",Acompanhamento,Almoço,30,Fácil,200,1g,100mg,3g,40g,0
Sanduíche de Atum,Internacional,"['Pão', 'Atum', 'Maionese', 'Alface', 'Tomate']",Peixes,Lanche,15,Fácil,250,3g,200mg,15g,30g,1
Tabule,Libanesa,"['Trigo para quibe', 'Tomate', 'Salsinha', 'Hortelã', 'Cebola']",Salada,Almoço,20,Fácil,150,5g,150mg,5g,30g,0
Lasanha de Legumes,Italiana,"['Massa para lasanha', 'Berinjela', 'Abobrinha', 'Queijo', 'Molho de tomate']",Vegetariano,Jantar,60,Médio,320,4g,250mg,15g,35g,1
Rabo de Boi ao Vinho Tinto,Brasileira,"['Rabo de boi', 'Vinho tinto', 'Cenoura', 'Cebola', 'Alho']",Carne,Jantar,180,Avançado,500,2g,400mg,40g,10g,0
Salada Caesar,Americana,"['Alface romana', 'Frango grelhado', 'Croutons', 'Queijo parmesão', 'Molho Caesar']",Salada,Almoço,20,Médio,280,3g,300mg,20g,15g,0
Brownie de Chocolate,Internacional,"['Chocolate', 'Manteiga', 'Açúcar', 'Ovo', 'Farinha']",Sobremesa,Lanche,40,Médio,400,30g,200mg,5g,40g,0
Sopa de Lentilhas,Indiana,"['Lentilhas', 'Cenoura', 'Cebola', 'Alho', 'Caldo de legumes']",Sopa,Jantar,45,Médio,250,5g,150mg,10g,30g,1
Salada Waldorf,Americana,"['Maçã', 'Aipo', 'Nozes', 'Maionese', 'Uvas-passas']",Salada,Almoço,15,Fácil,200,10g,100mg,3g,25g,0
Torta de Limão,Internacional,"['Biscoito', 'Leite condensado', 'Limão', 'Creme de leite', 'Açúcar']",Sobremesa,Lanche,40,Médio,350,40g,150mg,5g,30g,0
Poke Bowl,Havaiana,"['Arroz', 'Salmão', 'Abacate', 'Pepino', 'Molho de soja']",Peixes,Almoço,25,Fácil,300,2g,200mg,20g,40g,0
Espinafre à Moda Indiana,Indiana,"['Espinafre', 'Cebola', 'Tomate', 'Gengibre', 'Coentro']",Vegetariano,Jantar,35,Médio,180,3g,100mg,8g,20g,0
Pizza Margherita,Italiana,"['Massa de pizza', 'Molho de tomate', 'Muçarela', 'Manjericão', 'Azeite']",Carne,Jantar,30,Fácil,350,3g,250mg,15g,30g,1
Sushi de Salmão,Japonesa,"['Arroz para sushi', 'Salmão', 'Alga nori', 'Vinagre de arroz', 'Wasabi']",Peixes,Almoço,40,Médio,300,2g,200mg,25g,35g,0
Torta de Frango,Brasileira,"['Massa de torta', 'Frango desfiado', 'Cenoura', 'Ervilha', 'Milho']",Aves,Almoço,50,Médio,280,3g,300mg,20g,25g,1
Salada Caprese,Italiana,"['Tomate', 'Muçarela de búfala', 'Manjericão', 'Azeite', 'Vinagre balsâmico']",Salada,Almoço,15,Fácil,200,2g,150mg,10g,5g,0
Risoto de Camarão,Italiana,"['Arroz arbóreo', 'Camarão', 'Cebola', 'Caldo de peixe', 'Vinho branco']",Peixes,Jantar,45,Médio,400,2g,350mg,30g,40g,0
Estrogonofe de Carne,Russa,"['Carne', 'Creme de leite', 'Cebola', 'Ketchup', 'Mostarda']",Carne,Almoço,40,Médio,320,4g,200mg,25g,15g,0
Guacamole,Mexicana,"['Abacate', 'Tomate', 'Cebola', 'Coentro', 'Limão']",Vegetariano,Lanche,15,Fácil,180,4g,100mg,3g,10g,1
Sanduíche de Frango,Internacional,"['Pão', 'Peito de frango', 'Alface', 'Tomate', 'Maionese']",Aves,Lanche,20,Fácil,250,3g,150mg,20g,30g,1
Panqueca de Banana,Internacional,"['Banana', 'Farinha de trigo', 'Leite', 'Ovo', 'Açúcar']",Sobremesa,Café da manhã,25,Fácil,220,15g,100mg,5g,25g,0
